bit_length,method,n,p,q,time_sec,iterations,success
32,sympy,3049400119,58477,52147,0.0007198750,-1,1
40,sympy,619476196067,820117,755351,0.0005143330,-1,1
48,sympy,158584245612059,13121803,12085553,0.0015287500,-1,1
56,sympy,43447775087702473,259513979,167419787,0.0004876660,-1,1
64,sympy,10392962675140031681,3359177443,3093901067,0.1022172090,-1,1
72,sympy,4156229155866559196071,63255137147,65705796293,0.8300289590,-1,1
80,sympy,566501418363220282499863,643119397241,880865078543,0.3583642500,-1,1
88,sympy,163824190038154006983150083,10637999051569,15399906433907,0.1587352910,-1,1
96,sympy,32370035602696419102768596393,170208918999913,190178257360961,0.5485948340,-1,1
128,sympy,227366464194521372885889416217618828451,14879075075718394727,15280954161295111013,0.5030324580,-1,1
